STANOX NO.,FULL NAME,CRS CODE,NR ROUTE
87041,ASH VALE,AHV,Wessex
32050,ASHBURYS,ABY,LNW
32049,ASHBURYS LAFARGE (FLHH),,LNW
32051,ASHBURYS S.S.,,LNW
32048,ASHBURYS W JN. (SIG AS998),,LNW
69013,ASHBY JUNCTION,,LNW
68071,ASHCHURCH FOR TEWKESBURY,ASC,Western
68073,ASHCHURCH MOD (ARMY),,Western
68074,ASHCHURCH SIGNAL G453,,Western
68072,ASHCHURCH WAR DEPT G.F.,,Western
68075,ASHCHURCH WAR DEPT. G.F.,,Western
69508,ASHENDON JN,,LNW
89568,ASHFCTRTB,,Kent
89426,ASHFD DGL,,Kent
89429,ASHFDPDPT,,Kent
6245,ASHFIELD,ASF,Scotland
87117,ASHFORD (SURREY),AFS,Wessex
89438,ASHFORD A JUNCTION,,Kent
89422,ASHFORD CRANE DEPOT,,Kent
89420,ASHFORD DOWN SIDINGS,,Kent
89427,ASHFORD DOWN YARD,,Kent
89421,ASHFORD DOWN YD WASHER RD,,Kent
89419,ASHFORD EAST BERTHING SDGS,,Kent
89572,ASHFORD EAST JN (CTRL),XIE,HS1
89430,ASHFORD EAST JUNCTION,,Kent
89428,ASHFORD INTERNATIONAL,ASI,Kent
89425,ASHFORD MAIDSTONE LOOP,,Kent
89424,ASHFORD P.A.D.,,Kent
89434,ASHFORD SIGNAL AD2119,,Kent
89418,ASHFORD UP SIDINGS,,Kent
89566,ASHFORD WEST JN (CTRL),XIW,HS1
89423,ASHFORD WEST JUNCTION,,Kent
59118,ASHFORDBY L.C.,,East Midlands
89570,ASHFRTCTB,,Kent
12213,ASHINGTON JN,,LNE
37223,ASHLEY,ASY,LNW
87683,ASHTEAD,AHD,Sussex
43309,ASHTON BY STONE,,LNW
81821,ASHTON GATE,,Western
35202,ASHTON IN MAKERFIELD K.S.,,LNW
81829,ASHTON JN SIGNAL B335,,Western
81823,ASHTON JUNCTION,,Western
81822,ASHTON JUNCTION (CE),,Western
32117,ASHTON MOSS NORTH JN,,LNW
32115,ASHTON-UNDER-LYNE,AHN,LNW
87763,ASHURST,AHS,Sussex
87765,ASHURST JN,,Sussex
86893,ASHURST NEW FOREST,ANF,Wessex
53011,ASHWELL & MORDEN,AWM,LNE
59131,ASHWELL L.C.,,East Midlands
11225,ASKAM,ASK,LNW
44517,ASLOCKTON,ALK,LNE
10021,ASPATRIA,ASP,LNW
62051,ASPLEY GUISE,APG,East Midlands
31747,ASTLEY,,LNW
29181,ASTLEY BRIDGE JN,,LNW
65651,ASTON,AST,LNW
65650,ASTON SOUTH JN,,LNW
841,ATH,,Non Britain
82307,ATHELNEY CROSSING,,Western
69009,ATHERSTONE,ATH,LNW
35139,ATHERTON,ATN,LNW
1076,ATTADALE,ATT,Scotland
55202,ATTENBOROUGH,ATB,East Midlands
55203,ATTENBOROUGH JN,,East Midlands
25624,ATTERCLIFFE M&G,,LNE
25623,ATTERCLIFFE SDGS EWS,,LNE
25622,ATTERCLIFFE SDGS FHH,,LNE
25621,ATTERCLIFFE STONE TEML D&C,,LNE
48501,ATTLEBOROUGH,ATL,Anglia
69023,ATTLEBOROUGH JN,,LNW
69032,ATTLEBOROUGH JN SIG RN3431,,LNW
69031,ATTLEBOROUGH JN SIG RN9533,,LNW
69020,ATTLEBOROUGH NORTH JN,,LNW
25625,ATTRCLIF,,LNE
4120,AUCHENGRAY,,Scotland
8825,AUCHINLECK,AUK,Scotland
3152,AUCHTERARDER,,Scotland
3151,AUCHTERARDER SB,,Scotland
47321,AUDLEY END,AUD,Anglia
36005,AUGHTON PARK,AUG,LNW
9016,AULDGIRTH,,Scotland
746,AULNOYE,,Non Britain
1144,AVIEMORE,AVM,Scotland
1142,AVIEMORE (SPEYSIDE),,Scotland
1140,AVIEMORE DOWN REFUGE SDG,,Scotland
1137,AVIEMORE SIGNAL A29,,Scotland
1141,AVIEMORE UP REFUGE SDG CE,,Scotland
784,AVIGNON,,Non Britain
783,AVIGNON C M T,AVI,Non Britain
82073,AVONCLIFF,AVF,Western
81248,AVONM FLT,,Western
81241,AVONM HYA,,Western
81247,AVONM REY,,Western
81226,AVONMBBHT,,Western
81236,AVONMBULK,,Western
81240,AVONMOUTH,AVN,Western
81250,AVONMOUTH (ADVENZA),,Western
81235,AVONMOUTH BBHT COAL SILOS,,Western
81228,AVONMOUTH BENNETS SIDING,,Western
81234,AVONMOUTH BHT FASTLINE,,Western
81231,AVONMOUTH CTR TERMAL EWS,,Western
81249,AVONMOUTH EDWARD DOCK ADVZ,,Western
81239,AVONMOUTH ENTERPRISE,,Western
81229,AVONMOUTH NO. 5 WHARF EWS,,Western
81237,AVONMOUTH NTL PWR SILO 1,,Western
81238,AVONMOUTH NTL PWR SILO 2,,Western
81242,AVONMOUTH ROCKINGHAM ROAD,,Western
81227,AVONMOUTH WEST WARF (FHH),,Western
81245,AVONMTH CHITTENING ESTATE,,Western
76076,AWRE,,Wales
83466,AXMINSTER,AXM,Western
83457,AXMINSTER EAST JUNCTION,,Western
83456,AXMINSTER WEST JUNCTION,,Western
15125,AYCLIFFE,,LNE
70353,AYLESBURY,AYS,LNW
70354,AYLESBURY (SDGS 1-7),,LNW
70352,AYLESBURY C.C.D.,,LNW
70351,AYLESBURY NORTH LOOP,,LNW
70356,AYLESBURY VALE JUNCTION,,LNW
70355,AYLESBURY VALE PARKWAY,AVP,LNW
89309,AYLESFORD,AYL,Kent
89515,AYLESHAM,AYH,Kent
69440,AYNHO JN,XAN,LNW
69443,AYNHO JN SIG BS501,,LNW
69441,AYNHO PARK JN,,LNW
69444,AYNHO SIG BS5002,,LNW
69442,AYNHO UP GOODS LOOP,,LNW
8618,AYR,AYR,Scotland
8621,AYR C.S.D.,XAR,Scotland
8614,AYR DEPOT,XAY,Scotland
8607,AYR HARBOUR A.B.P.,,Scotland
8608,AYR HARBOUR FHH,,Scotland
8604,AYR SIG. PA335,,Scotland
8617,AYR SIG. PA853,,Scotland
8615,AYR W.R.D.,,Scotland
8661,AYRAUCHIN,,Scotland
23490,BABWORTH LOOP,,LNE
38306,BACHE,BAC,LNW
81003,BADMINGTON,,Western
79607,BAGLAN,BAJ,Wales
79612,BAGLAN BAY BP CHEM FLIN HH,,Wales
79611,BAGLAN BAY BP CHEML EWS,,Wales
87102,BAGSHOT,BAG,Wessex
32123,BAGULEY FOLD JN,,LNW
58135,BAGWORTH JCN,,East Midlands
58136,BAGWORTH JN REFUGE SDGS,,East Midlands
17038,BAILDON,BLD,LNE
4637,BAILEYFIELD C.E.,,Scotland
7296,BAILLIESTON,BIO,Scotland
738,BAISIEUX (SNCF/SNCB BRDR),,Non Britain
87963,BALCOMBE,BAB,Sussex
87927,BALCOMBE TUNNEL JN,,Sussex
41124,BALDERTON TUNNEL & LC,,Wales
85530,BALDHU,,Western
53015,BALDOCK,BDK,LNE
87222,BALHAM,BAL,Sussex
87225,BALHAM JN,,Sussex
3104,BALLINLUIG,,Scotland
6121,BALLOCH,BHC,Scotland
3040,BALMOSSIE,BSI,Scotland
23175,BALNE,,LNE
30165,BALSHAW LANE,,LNW
30133,BAMBER BRIDGE,BMB,LNW
30131,BAMBER BRIDGE ISU (CE),,LNW
30132,BAMBER BRIDGE WHITTLE INT.,,LNW
34011,BAMFORD,BAM,LNW
35155,BAMFURLONG JN,,LNW
6013,BANAVIE,BNV,Scotland
74550,BANBRD RP,,Western
69424,BANBURY,BAN,LNW
69433,BANBURY CATTLE RD SIDINGS,,LNW
69423,BANBURY DOWN GOODS LOOP,,LNW
69422,BANBURY JN.,,LNW
70137,BANBURY LANE L.C.,,LNW
69425,BANBURY NORTH S.B.,,LNW
69428,BANBURY RESERVOIR RLAND A,,LNW
69432,BANBURY SIGNAL 12,,LNW
69431,BANBURY SIGNAL 21,,LNW
69430,BANBURY SIGNAL BS32,,LNW
69427,BANBURY SOUTH SB,,LNW
69426,BANBURY TAMPER SIDING,,LNW
69421,BANBURY UP GOODS LOOP,,LNW
69420,BANBURY UP SIDINGS,,LNW
40036,BANGOR (GWYNEDD),BNG,Wales
40040,BANGOR C.S.,,Wales
40032,BANGOR SIG.BR37,,Wales
40035,BANGOR TUNNEL CEMENT,,Wales
36075,BANK HALL,BAH,LNW
8829,BANK JN,,Scotland
87677,BANSTEAD,BAD,Sussex
8411,BARASSIE,BSS,Scotland
8409,BARASSIE C.E.,,Scotland
8413,BARASSIE JN,,Scotland
8410,BARASSIE JN D.P.L.,,Scotland
8412,BARASSIE JN U.G.L.,,Scotland
8408,BARASSIE YARD FHH,,Scotland
63635,BARBICAN,ZBB,East Midlands
215,BARCELONA EL MORROT,,Non Britain
58110,BARDNHILQ,,East Midlands
58113,BARDON HILL B.R. SDGS,,East Midlands
58112,BARDON HILL GBRF,,East Midlands
58115,BARDON HILL GROUND FRAME,,East Midlands
58111,BARDON HILL QUARRY,,East Midlands
58114,BARDON HILL QUARRY FHH,,East Midlands
13311,BARDON MILL,BLL,LNE
11711,BARE LANE,BAR,LNW
7297,BARGEDDIE,BGI,Scotland
78351,BARGOED,BGD,Wales
78352,BARGOED SIDINGS,,Wales
49018,BARHAM,,Anglia
49019,BARHAM FHH,,Anglia
49017,BARHAM GROUND SIG C01379,,Anglia
354,BARI,,Non Britain
51531,BARKING,BKG,Anglia
51518,BARKING FREIGHT DEPOT,,Anglia
51532,BARKING L.T.,ZBK,Anglia
51530,BARKING STATION JUNCTION,,Anglia
51529,BARKING UPNEY JUNCTION,,Anglia
51534,BARKINGJN,,Anglia
44100,BARKSTON EAST JN,,LNE
44379,BARKSTON SOUTH JN,,LNE
43306,BARLASTON,BRT,LNW
16525,BARLBY LOOPS,,LNE
8732,BARLEITH WALKER J,,Scotland
89402,BARMING,BMG,Kent
64414,BARMOUTH,BRM,Wales
23401,BARNBY DUN ROCKWARE GLASS,,LNE
88422,BARNEHURST,BNH,Kent
88393,BARNEHURST SIGNAL NK1532,,Kent
87149,BARNES,BNS,Wessex
87150,BARNES BRIDGE,BNI,Wessex
87166,BARNES SIGNAL W1090,,Wessex
21415,BARNETBY,BTB,LNE
21412,BARNETBY DN RECP SDG (FHH),,LNE
21411,BARNETBY DOWN SIDINGS,,LNE
21413,BARNETBY RECP SDGS (FREIGHTLINER),,LNE
86451,BARNHAM,BAA,Sussex
86452,BARNHAM DOWN SDG,,Sussex
86454,BARNHAM SIGNAL BH115,,Sussex
86453,BARNHAM SIGNAL BH122,,Sussex
86450,BARNHAM UP SIDINGS,,Sussex
6523,BARNHILL,BNL,Scotland
3095,BARNHILL (PERTH),,Scotland
52057,BARNSBURY JN,,Anglia
24385,BARNSLEY,BNY,LNE
83222,BARNSTAPLE,BNP,Western
66525,BARNT GREEN,BTG,LNW
47201,BARNWELL JN. B.P.,,Anglia
68082,BARNWOOD JN.,,Western
68083,BARNWOOD SDGS,,Western
7224,BARRHEAD,BRR,Scotland
8645,BARRHILL,BRL,Scotland
11233,BARROW C.S.,XBF,LNW
11247,BARROW DOCKS (ABP),,LNW
21004,BARROW HAVEN,BAV,LNE
27222,BARROW HILL (FF),,LNE
27212,BARROW HILL L.I.P.,,LNE
27213,BARROW HILL LOCO SHED FHH,,LNE
27217,BARROW HILL NORTH JN,,LNE
27220,BARROW HILL R.S.,,LNE
27219,BARROW HILL SOUTH JN.,,LNE
27223,BARROW HILL UP SDG NO 1,,LNE
27221,BARROW HILL UP SDGS NO 2-3,,LNE
11243,BARROW RAMSDEN DOCK,,LNW
81424,BARROW ROAD A.C.C. R.T.S,,Western
59009,BARROW UPON SOAR,BWS,East Midlands
11231,BARROW-IN-FURNESS,BIF,LNW
11249,BARROW-IN-FURNESS T.C.,,LNW
78810,BARRY,BRY,Wales
78812,BARRY CW,,Wales
78811,BARRY DKS ABP NONSHIPMENT,,Wales
78805,BARRY DOCKS,BYD,Wales
78802,BARRY DOCKS ABP SHIPMENT,,Wales
78801,BARRY DOCKS ADVENZA,,Wales
78809,BARRY DOCKS DOW CHEMICALS,,Wales
78807,BARRY DOCKS DUNN BROS,,Wales
78803,BARRY DOCKS EWS,,Wales
78806,BARRY DOCKS HEXION,,Wales
78814,BARRY DOCKS SAMAT TERMINAL,,Wales
78804,BARRY DOCKS ZEON,,Wales
78899,BARRY DOWN GOODS LOOP,,Wales
78817,BARRY ISLAND,BYI,Wales
3038,BARRY LINKS,BYL,Scotland
78815,BARRY SIGNAL B49,,Wales
78813,BARRYD DC,,Wales
78808,BARRYDDOW,,Wales
42414,BARTHOMLEY JN,,LNW
30106,BARTON & BROUGHTON PASS LP,,LNW
57724,BARTON & WALTON,,East Midlands
33011,BARTON DOCK ROAD C.B.,,LNW
16234,BARTON HILL,,LNE
81433,BARTON HILL FLINER HH,,Western
57731,BARTON U NEEDWOOD LH GROUP,,East Midlands
57727,BARTON UNDER NEEDWOOD N JN,,East Midlands
57725,BARTON UNDER NEEDWOOD RSMD,XUN,East Midlands
57726,BARTON UNDER NEEDWOOD S JN,,East Midlands
33012,BARTONDK,,LNW
21001,BARTON-ON-HUMBER,BAU,LNE
64123,BASCHURCH LC,,Wales
506,BASEL,,Non Britain
505,BASEL SBB GB GTI,,Non Britain
42154,BASFDHLFP,,LNW
55118,BASFORD,,East Midlands
51019,BASILDON,BSO,Anglia
86066,BASINGSTOKE,BSK,Wessex
86065,BASINGSTOKE BARTN ML C.S.D,XBS,Wessex
86052,BASINGSTOKE BARTON MILL E,,Wessex
86058,BASINGSTOKE DN E END SDG,XDF,Wessex
86063,BASINGSTOKE DOWN YARD,XBT,Wessex
86060,BASINGSTOKE NORTH YARD,,Wessex
86062,BASINGSTOKE SIG BE547,,Wessex
86055,BASINGSTOKE SIGNAL B5105,,Wessex
86053,BASINGSTOKE SIGNAL B5109,,Wessex
86057,BASINGSTOKE SIGNAL YW112,,Wessex
86067,BASINGSTOKE SIGNAL YW114,,Wessex
86064,BASINGSTOKE WEST YARD,XBZ,Wessex
89349,BAT & BALL,BBL,Kent
81502,BATH A.C.C. R.T.S.,,Western
81500,BATH GOODS LOOP,,Western
81501,BATH SPA,BTH,Western
81499,BATH YARD,,Western
75356,BATHAMPTON JN,,Western
4010,BATHGATE,BHG,Scotland
7330,BATHGATE EAST JN,,Scotland
7332,BATHGATE LMD,,Scotland
4012,BATHGATE M.A.T.,,Scotland
7333,BATHGATE SIG 2031,,Scotland
4009,BATHGATE T.C.,,Scotland
4013,BATHGTE S,,Scotland
18437,BATLEY,BTL,LNE
15511,BATTERSBY,BTT,LNE
87239,BATTERSEA LOOP,,Sussex
87203,BATTERSEA PARK,BAK,Sussex
87199,BATTERSEA PIER JN.,,Sussex
89398,BATTLE,BAT,Kent
89385,BATTLE NO 2 XOVER,,Kent
50309,BATTLESBRIDGE,BLB,Anglia
23487,BAWTRY CROSSOVER,,LNE
11725,BAY HORSE,,LNW
53243,BAYFORD,BAY,LNE
64234,BAYSTON HILL QUARRY,,Wales
79789,BDGEND165,,Wales
33049,BDGWATRJN,,LNW
73502,BEACONSFIELD,BCF,LNW
12105,BEAL L.C.,,LNE
49125,BEALINGS,,Anglia
15628,BEAM MILL JN.,,LNE
66454,BEARLEY,BER,LNW
66453,BEARLEY JN,,LNW
6305,BEARSDEN,BRN,Scotland
89404,BEARSTED,BSD,Kent
6005,BEASDALE,BSL,Scotland
7977,BEATTOCK,,Scotland
7995,BEATTOCK D.P.L.,,Scotland
7978,BEATTOCK DOWN SDGS,,Scotland
7975,BEATTOCK SUMMIT,,Scotland
7974,BEATTOCK SUMMIT D.P.L.,,Scotland
7990,BEATTOCK SUMMIT DOWN SDGS,,Scotland
